GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE001	high	100	viral (12)	VDB (8), UDB Viruses (4)	OX030882.1_58118630-58120351:+	2.3499999999999998e-94	34.3	hypothetical protein [Keturi virus] acc=QRW42850.1 	hypothetical protein [Keturi virus] acc=QRW42850.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Keturi virus	Duplornaviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE002	high	100	viral (5)	VDB (3), UDB Viruses (2)	OX030883.1_16182208-16182952:-	9.249999999999998e-37	48.4	glycoprotein [Chapada dielmovirus] acc=QYI39977.1 	glycoprotein [Chapada dielmovirus] acc=QYI39977.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Chapada dielmovirus	Negarnaviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE003	high	100	viral (4)	UDB Viruses (2), VDB (2)	OX030883.1_16187353-16187705:-	2.68e-18	40.8	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE004	high	100	viral (6)	VDB (4), UDB Viruses (2)	OX030883.1_31615193-31616206:+	9.84e-35	31.9	nonstructural protein [Fako virus] acc=WLG20790.1 	nonstructural protein [Fako virus] acc=WLG20790.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Dinovernavirus;s__Fako virus	Duplornaviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE005	high	100	viral (20)	VDB (16), UDB Viruses (4)	OX030883.1_32055880-32056653:+	1.4899999999999997e-159	82.9	RNA-dependent RNA polymerase [Soufli partiti-like virus] acc=QRD99865.1 	RNA-dependent RNA polymerase [Soufli partiti-like virus] acc=QRD99865.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Soufli partiti-like virus	Pisuviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE006	high	96	viral (14), maybe-viral (1)	VDB (9), UDB Viruses (5), uncharacterized protein (1)	OX030883.1_32282616-32283565:+	6.47e-136	59.8	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE007	high	96	viral (13), maybe-viral (1)	VDB (8), UDB Viruses (5), uncharacterized protein (1)	OX030883.1_32329380-32330480:+	4.1299999999999995e-158	60.6	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE008	high	96	viral (19), non-viral (1)	VDB (18), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	OX030883.1_32412642-32412950:+	1.2699999999999998e-32	60.8	RdRp [Hubei partiti-like virus 36] acc=APG78249.1 	RdRp [Hubei partiti-like virus 36] acc=APG78249.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei partiti-like virus 36	unclassified Viruses phylum
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE009	high	95	viral (19), non-viral (1)	VDB (17), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	OX030882.1_55886281-55886936:+	8.240000000000001e-73	54.9	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Riboviria sp.	unclassified Viruses phylum
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE010	high	95	viral (8), maybe-viral (1)	VDB (6), UDB Viruses (2), uncharacterized protein (1)	OX030883.1_30672308-30673114:+	3.3899999999999993e-96	57.9	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE011	high	85	viral (8), maybe-viral (2)	VDB (5), UDB Viruses (3), uncharacterized protein (2)	OX030883.1_31708133-31709810:+	4.8800000000000005e-73	30.2	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Enontekio totivirus 5	Duplornaviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE012	high	83	viral (6), maybe-viral (1)	VDB (4), UDB Viruses (2), uncharacterized protein (1)	OX030883.1_32187244-32188535:+	1.21e-48	32.6	uncharacterized protein LOC125767456 n=1 Tax=Anopheles funestus  RepID=UPI0020C7324A	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hattula totivirus 3	Duplornaviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE013	high	73	viral (2), maybe-viral (1)	UDB Viruses (1), uncharacterized protein (1), VDB (1)	OX030883.1_16187779-16188274:-	2e-8	29.5	hypothetical protein [Osugoroshi virus] acc=BCP45655.1 	hypothetical protein [Osugoroshi virus] acc=BCP45655.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Osugoroshi virus	Pisuviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE014	high	73	viral (5), maybe-viral (3)	uncharacterized protein (3), VDB (3), UDB Viruses (2)	OX030883.1_30526712-30527206:-	2.45e-14	28.7	Capsid protein n=1 Tax=Wuhan insect virus 23  RepID=A0A1L3KLS1_9VIRU	Capsid protein n=1 Tax=Wuhan insect virus 23  RepID=A0A1L3KLS1_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Wuhan insect virus 23	Arthropoda
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE015	high	67	viral (5), maybe-viral (4)	uncharacterized protein (4), VDB (3), UDB Viruses (2)	OX030883.1_30844580-30845158:+	9.89e-17	30.3	Capsid protein n=1 Tax=Wuhan insect virus 23  RepID=A0A1L3KLS1_9VIRU	Capsid protein n=1 Tax=Wuhan insect virus 23  RepID=A0A1L3KLS1_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Wuhan insect virus 23	Arthropoda
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE016	high	61	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSDQ020000001.1_93163-93269:-	5.72e-10	75	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE017	high	61	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSDQ020000017.1_3794-3906:-	3.36e-10	71.1	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE018	high	61	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSDQ020000040.1_6175-6280:+	4.18e-10	77.1	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
